game_id,season,week,home_team,away_team,result,spread_line,H_points_scored_avg,H_points_allowed_avg,H_total_yards_avg,H_total_yards_allowed_avg,H_rush_yards_avg,H_rush_yards_allowed_avg,H_pass_yards_avg,H_pass_yards_allowed_avg,H_turnovers_taken_avg,H_turnovers_lost_avg,H_points_scored_streak,H_points_allowed_streak,H_total_yards_streak,H_total_yards_allowed_streak,H_rush_yards_streak,H_rush_yards_allowed_streak,H_pass_yards_streak,H_pass_yards_allowed_streak,H_turnovers_taken_streak,H_turnovers_lost_streak,H_win_pct,H_win_pct_streak,H_computed_strength,A_points_scored_avg,A_points_allowed_avg,A_total_yards_avg,A_total_yards_allowed_avg,A_rush_yards_avg,A_rush_yards_allowed_avg,A_pass_yards_avg,A_pass_yards_allowed_avg,A_turnovers_taken_avg,A_turnovers_lost_avg,A_points_scored_streak,A_points_allowed_streak,A_total_yards_streak,A_total_yards_allowed_streak,A_rush_yards_streak,A_rush_yards_allowed_streak,A_pass_yards_streak,A_pass_yards_allowed_streak,A_turnovers_taken_streak,A_turnovers_lost_streak,A_win_pct,A_win_pct_streak,A_computed_strength
2015_05_WAS_ATL,2015,5,ATL,WAS,6,7.5,34.25,23.25,403.75,390.5,113.5,85.25,300.5,310.5,2.0,0.5,34.25,23.25,403.75,390.5,113.5,85.25,300.5,310.5,2.0,0.5,1.0,1.0,0.06106689251531567,19.5,19.75,383.5,288.0,139.5,78.0,251.25,231.25,0.75,1.75,19.5,19.75,383.5,288.0,139.5,78.0,251.25,231.25,0.75,1.75,0.5,0.5,0.03771397812395697
2015_05_CLE_BAL,2015,5,BAL,CLE,-3,6.0,23.25,26.0,355.0,347.0,102.25,104.75,262.25,258.25,1.0,1.75,23.25,26.0,355.0,347.0,102.25,104.75,262.25,258.25,1.0,1.75,0.25,0.25,0.030610083743485613,21.25,25.5,346.0,406.25,89.75,141.5,275.0,277.0,1.5,1.5,21.25,25.5,346.0,406.25,89.75,141.5,275.0,277.0,1.5,1.5,0.25,0.25,0.01909494343983431
2015_05_SEA_CIN,2015,5,CIN,SEA,3,3.0,30.25,19.25,422.5,364.75,128.0,85.75,296.75,298.0,1.5,1.0,30.25,19.25,422.5,364.75,128.0,85.75,296.75,298.0,1.5,1.0,1.0,1.0,0.04187358472609265,21.75,17.75,346.25,279.25,128.0,88.5,244.75,203.0,1.25,1.25,21.75,17.75,346.25,279.25,128.0,88.5,244.75,203.0,1.25,1.25,0.5,0.5,0.028689882795457537
2015_05_ARI_DET,2015,5,DET,ARI,-25,-4.5,16.5,24.0,292.75,383.0,47.0,111.5,254.25,291.75,2.0,2.25,16.5,24.0,292.75,383.0,47.0,111.5,254.25,291.75,2.0,2.25,0.0,0.0,0.017639450470611214,37.0,18.25,405.0,306.75,121.75,107.5,288.75,208.5,1.75,1.25,37.0,18.25,405.0,306.75,121.75,107.5,288.75,208.5,1.75,1.25,0.75,0.75,0.03820872110880001
2015_05_IND_HOU,2015,5,HOU,IND,-7,4.5,19.25,27.0,384.75,344.0,99.75,115.25,297.0,238.75,0.5,2.0,19.25,27.0,384.75,344.0,99.75,115.25,297.0,238.75,0.5,2.0,0.25,0.25,0.027553604696224504,18.0,23.25,338.25,387.5,87.5,119.5,258.75,276.0,0.75,2.75,18.0,23.25,338.25,387.5,87.5,119.5,258.75,276.0,0.75,2.75,0.5,0.5,0.019116413509410454
2015_05_CHI_KC,2015,5,KC,CHI,-1,10.0,25.0,31.25,358.25,398.0,108.0,101.5,277.5,311.0,0.75,1.5,25.0,31.25,358.25,398.0,108.0,101.5,277.5,311.0,0.75,1.5,0.25,0.25,0.029121925738919956,17.0,31.25,313.5,309.0,123.5,119.25,202.5,201.25,0.75,1.5,17.0,31.25,313.5,309.0,123.5,119.25,202.5,201.25,0.75,1.5,0.25,0.25,0.01947347159057465
2015_05_SF_NYG,2015,5,NYG,SF,3,7.5,25.5,20.5,335.25,386.5,93.0,69.75,243.0,327.25,2.0,0.5,25.5,20.5,335.25,386.5,93.0,69.75,243.0,327.25,2.0,0.5,0.5,0.5,0.051208527895553135,12.0,27.5,289.5,378.25,130.25,114.0,181.75,283.75,0.5,1.5,12.0,27.5,289.5,378.25,130.25,114.0,181.75,283.75,0.5,1.5,0.25,0.25,0.019568071867545757
2015_05_NO_PHI,2015,5,PHI,NO,22,6.5,19.5,21.5,294.0,373.5,70.0,97.0,237.0,284.75,2.25,2.0,19.5,21.5,294.0,373.5,70.0,97.0,237.0,284.75,2.25,2.0,0.25,0.25,0.03971669091509616,21.5,26.0,387.25,381.5,82.75,123.25,319.75,268.75,0.75,1.5,21.5,26.0,387.25,381.5,82.75,123.25,319.75,268.75,0.75,1.5,0.25,0.25,0.03434291414065375
2015_05_JAX_TB,2015,5,TB,JAX,7,1.0,18.0,29.25,333.75,322.25,107.25,136.75,241.25,204.0,1.5,2.5,18.0,29.25,333.75,322.25,107.25,136.75,241.25,204.0,1.5,2.5,0.25,0.25,0.023120668199060848,15.5,26.75,346.25,361.5,104.5,83.0,249.0,293.5,0.75,1.0,15.5,26.75,346.25,361.5,104.5,83.0,249.0,293.5,0.75,1.0,0.25,0.25,0.01937445118554818
2015_06_CIN_BUF,2015,6,BUF,CIN,-13,-3.0,24.8,21.0,328.2,357.4,128.0,82.2,220.2,281.0,1.8,1.0,24.25,22.75,324.75,370.25,123.25,86.75,226.5,290.5,1.75,1.25,0.6,0.5,0.028730140607710893,29.6,20.2,421.8,371.2,124.2,108.6,303.6,281.0,1.4,1.2,28.75,22.0,428.25,402.5,123.5,120.0,312.25,300.5,1.25,1.5,1.0,1.0,0.04926828293176962
2015_06_DEN_CLE,2015,6,CLE,DEN,-3,-3.5,23.6,26.4,378.2,400.4,88.4,149.4,311.4,263.6,1.2,1.2,27.0,25.25,392.5,417.25,84.5,148.25,331.5,284.75,1.0,0.5,0.4,0.5,0.026530045339947704,22.6,15.8,302.6,278.0,71.6,85.2,246.8,221.6,2.4,1.6,23.5,16.5,323.5,304.25,72.25,88.25,264.75,247.75,2.5,1.75,1.0,1.0,0.04334054387634325
